Waktu(s),Total_Ticks,Kecepatan(Ticks/s)
0.020440101623535156,43,0.0
0.12074041366577148,43,0.0
0.22353911399841309,44,9.727749443953531
0.3247358798980713,46,19.76333775471018
0.42603540420532227,47,9.871761136700096
0.5287723541259766,48,9.733618931143235
0.6310269832611084,50,19.559153524029806
0.7316086292266846,51,9.942077492331833
0.8340833187103271,53,19.517014494776763
0.9354119300842285,54,9.86885770486866
1.03763747215271,56,19.564627627319457
1.1394052505493164,57,9.826269895934365
1.2404613494873047,59,19.791080975232273
1.3432579040527344,60,9.727975062563926
1.4456841945648193,62,19.526100416656966
1.546349287033081,63,9.933953706488813
1.6484668254852295,65,19.58527428603448
1.7497684955596924,66,9.871505566146531
1.8509161472320557,68,19.77615057829496
1.9538607597351074,69,9.712499363198917
2.0543227195739746,70,9.954016441685178
2.156604051589966,72,19.553910382075482
2.2569732666015625,73,9.963592999859845
2.359805107116699,75,19.449138670561776
2.4618425369262695,76,9.802317890854871
2.563342571258545,78,19.69970692116931
2.6649794578552246,80,19.67789517143018
2.7672388553619385,81,9.779029535471476
2.868887186050415,83,19.676787389754175
2.9703381061553955,84,9.85645029010267
3.0732579231262207,86,19.43309873837643
3.173959970474243,87,9.930049599299217
3.2758431434631348,89,19.630740428718525
3.377981424331665,90,9.790419902476373
3.479785919189453,92,19.645636024693438
3.5810706615448,93,9.873085668821295
3.6839945316314697,95,19.435800243740818
3.784964084625244,96,9.90194152753645
3.8863275051116943,98,19.731030135388146
3.987119674682617,99,9.92142911210355
4.089639663696289,101,19.50866291157551
4.191652059555054,102,9.802501162706454
4.292648077011108,103,9.901380521614323
4.395097970962524,105,19.52173811862064
4.496253967285156,106,9.885721423874385
4.598369121551514,108,19.586005939817323
4.699955463409424,109,9.845622255033367
4.800408124923706,110,9.952977134016118
4.903558969497681,112,19.389125033225856
5.005953073501587,113,9.766210058420707
5.107377052307129,114,9.859624543373092
5.209154367446899,115,9.825326140172926
5.311633825302124,115,0.0
5.412649154663086,115,0.0
5.515052080154419,114,-9.765323275360295
5.6166605949401855,114,0.0
5.7172040939331055,114,0.0
5.819136381149292,114,0.0
5.9211266040802,114,0.0
6.022273540496826,114,0.0
6.124326705932617,114,0.0
6.225913763046265,114,0.0
6.327257871627808,114,0.0
6.429672479629517,114,0.0
6.531675577163696,114,0.0
6.6332995891571045,114,0.0
6.735669374465942,114,0.0
6.837804079055786,114,0.0
6.939719915390015,114,0.0
