Waktu(s),Total_Ticks,Kecepatan(Ticks/s)
0.08828330039978027,88.5,0.0
0.08969902992248535,88.5,0.0
0.19039368629455566,88.5,0.0
0.19188380241394043,88.5,0.0
0.29050207138061523,88.5,0.0
0.29189205169677734,88.5,0.0
0.3930644989013672,88.5,0.0
0.3945770263671875,88.5,0.0
0.4953584671020508,88.5,0.0
0.49683713912963867,88.5,0.0
0.5958631038665771,88.5,0.0
0.5973076820373535,89.0,346.00758950668205
0.6984140872955322,89.5,4.945366737096287
0.6998090744018555,89.5,0.0
0.8004276752471924,90.0,4.969283664634392
0.8019406795501709,91.0,661.7709056484696
0.8998439311981201,91.5,5.107032924215858
0.9012293815612793,92.0,360.459264352011
1.0037026405334473,93.0,9.759211129440946
1.0051112174987793,93.5,353.6512647554806
1.1036522388458252,94.0,5.074114937189091
1.1050677299499512,95.0,705.3992600067272
1.2063031196594238,95.5,4.939030823724471
1.207740068435669,96.0,347.78640132669983
1.308739185333252,97.0,9.901684391930972
1.310145616531372,98.0,707.6605365277543
1.4089906215667725,98.5,5.058448951237867
1.4104313850402832,99.0,346.9234077750207
1.511850118637085,100.0,9.860227187241405
1.5133750438690186,101.0,656.7967428750392
1.613454818725586,101.5,4.996204874818046
1.6148042678833008,102.0,371.0460014154282
1.7151405811309814,102.5,4.982802617385561
1.716606855392456,103.5,682.2225113858166
1.816434621810913,104.5,10.017253073741127
1.8179137706756592,105.0,337.8144329896907
1.9195516109466553,105.5,4.919473792857545
1.921055793762207,106.0,332.3010616384091
2.020415782928467,106.5,5.032194592882492
2.021782875061035,107.5,730.3332752916594
2.1237781047821045,108.5,9.80470095959419
2.1252152919769287,109.0,347.7287348698392
2.2241694927215576,109.5,5.05396286799437
2.225834608078003,110.5,600.3870598339536
2.3264193534851074,111.0,4.96990781335166
2.3277103900909424,111.5,387.07124400147654
2.4284374713897705,111.5,0.0
2.429884672164917,111.5,0.0
2.5292840003967285,112.0,5.03022714734595
2.5306508541107178,112.5,364.5318964018773
2.6318554878234863,112.5,0.0
2.6334495544433594,112.5,0.0
2.733999490737915,112.5,0.0
2.7356033325195312,112.5,0.0
2.8351807594299316,112.5,0.0
2.836941719055176,112.5,0.0
2.9366185665130615,112.5,0.0
2.938668966293335,112.5,0.0
3.037388563156128,112.5,0.0
3.039276123046875,112.5,0.0
3.139157772064209,112.5,0.0
3.1405887603759766,112.5,0.0
3.2409286499023438,112.5,0.0
3.2423622608184814,112.5,0.0
3.342789888381958,112.5,0.0
3.3442840576171875,112.5,0.0
3.44407057762146,112.5,0.0
3.4454848766326904,112.5,0.0
3.5465097427368164,112.5,0.0
3.5480151176452637,112.5,0.0
3.6477608680725098,112.5,0.0
3.649333953857422,112.5,0.0
3.7507152557373047,112.5,0.0
3.7523131370544434,112.5,0.0
3.851254463195801,112.5,0.0
3.8525946140289307,112.5,0.0
3.954450845718384,112.5,0.0
3.9558982849121094,112.5,0.0
4.056213140487671,112.5,0.0
4.057699918746948,112.5,0.0
4.15680718421936,112.5,0.0
4.158212423324585,112.5,0.0
4.259250640869141,112.5,0.0
4.260699272155762,112.5,0.0
4.360830545425415,112.5,0.0
4.36219596862793,112.5,0.0
4.461843490600586,112.5,0.0
4.46334981918335,112.5,0.0
4.564809560775757,112.5,0.0
4.566282510757446,112.5,0.0
4.665815830230713,112.5,0.0
4.667256593704224,112.5,0.0
4.767269849777222,112.5,0.0
4.76871919631958,112.5,0.0
4.86906623840332,112.5,0.0
4.870500802993774,112.5,0.0
4.970185995101929,112.5,0.0
4.971750736236572,112.5,0.0
5.072784900665283,112.5,0.0
5.0742058753967285,112.5,0.0
5.173781871795654,112.5,0.0
5.175285816192627,112.5,0.0
5.275842189788818,112.5,0.0
5.277365207672119,112.5,0.0
5.377636909484863,112.5,0.0
5.37920618057251,112.5,0.0
5.479642868041992,112.5,0.0
5.481274366378784,112.5,0.0
5.580729246139526,113.0,5.02663419685145
5.582296133041382,113.0,0.0
5.6824376583099365,113.0,0.0
5.683896541595459,113.0,0.0
5.784744739532471,113.5,4.957993682976189
5.78611946105957,113.5,0.0
5.886677265167236,114.0,4.972700737196283
5.888289213180542,114.0,0.0
5.98773717880249,115.0,10.05408774276441
5.98921799659729,115.0,0.0
6.089624404907227,115.5,4.980506896682753
6.091289043426514,115.5,0.0
6.192706823348999,116.5,9.858790235004866
6.194214582443237,116.5,0.0
6.294203519821167,117.5,10.001249469452379
6.29567551612854,117.5,0.0
6.395624160766602,119.0,15.00774306201606
6.39709997177124,119.0,0.0
6.497479200363159,120.5,14.949366878063733
6.499038457870483,120.5,0.0
6.5994133949279785,122.0,14.948372335041663
6.601277112960815,122.0,0.0
6.701206207275391,123.5,15.012076078579218
6.703068017959595,123.5,0.0
