Waktu(s),Total_Ticks,Kecepatan(Ticks/s)
0.04483628273010254,-4,0.0
0.1476140022277832,-4,0.0
0.24963164329528809,-4,0.0
0.35108375549316406,-4,0.0
0.45173215866088867,-5,-9.935600937109882
0.5537700653076172,-7,-19.59964298898593
0.6563189029693604,-7,0.0
0.7579829692840576,-7,0.0
0.8592150211334229,-7,0.0
0.9615490436553955,-7,0.0
1.0626518726348877,-7,0.0
1.1644608974456787,-7,0.0
1.2653019428253174,-7,0.0
1.3668346405029297,-7,0.0
1.4697391986846924,-7,0.0
1.5707027912139893,-7,0.0
1.6722607612609863,-7,0.0
1.7749366760253906,-7,0.0
1.8761484622955322,-7,0.0
1.977593183517456,-8,-9.857585372159157
2.0791735649108887,-7,9.84444371423609
2.1810522079467773,-6,9.81578368460714
2.284799098968506,-4,19.278173440426535
2.3856329917907715,-3,9.916831383527054
2.488006353378296,-1,19.536241199663706
2.5898280143737793,0,9.82106998351566
2.6900672912597656,2,19.952401226360568
2.792193651199341,3,9.791722695353354
2.8937108516693115,5,19.701279973695954
2.994760274887085,6,9.896054134146226
3.097001075744629,8,19.56170772430905
3.198409080505371,10,19.72230895104106
3.3008792400360107,11,9.760369349914365
3.402369260787964,13,19.70414912808178
3.5039336681365967,14,9.845760925443837
3.6050655841827393,16,19.776849937406137
3.7088725566864014,17,9.633220027560863
3.8094489574432373,19,19.8852391010096
3.9113268852233887,21,19.631291714641428
4.012340068817139,22,9.899697885196375
4.115036487579346,24,19.47483058264711
4.216917991638184,25,9.81530130603782
4.31788969039917,27,19.807390161720296
4.420176267623901,28,9.776522197203846
4.522218942642212,30,19.604085991853257
4.6227123737335205,31,9.948963665431636
4.7249672412872314,33,19.558469476496796
4.828131675720215,34,9.693218243375972
4.928400278091431,36,19.946518291305537
5.030634880065918,37,9.781013523125033
5.132293939590454,39,19.67434148034702
5.233767509460449,40,9.853463262448669
5.336252450942993,41,9.76018765009215
5.437155485153198,42,9.911254153020185
5.538118839263916,42,0.0
5.641260623931885,43,9.696243382573918
5.742348670959473,43,0.0
5.843160152435303,43,0.0
5.9456281661987305,43,0.0
6.048468589782715,43,0.0
6.15062689781189,43,0.0
6.25126576423645,43,0.0
6.353897333145142,43,0.0
6.454829692840576,43,0.0
6.556103706359863,43,0.0
6.658519506454468,43,0.0
6.761066913604736,43,0.0
6.861730575561523,43,0.0
6.964295148849487,43,0.0
