Waktu(s),Total_Ticks,Kecepatan(Ticks/s)
0.09946560859680176,178.5,0.0
0.10088753700256348,178.5,0.0
0.20081305503845215,178.5,0.0
0.20214247703552246,179.0,376.7790154509522
0.30302858352661133,179.5,4.9561189571398865
0.3044700622558594,180.5,692.815328708292
0.40396857261657715,181.5,10.050522138780126
0.40538454055786133,182.0,352.6996300033636
0.5065658092498779,182.5,4.941742562592047
0.5080244541168213,183.0,342.22454308093995
0.6079859733581543,184.0,10.004016581517046
0.6093993186950684,185.0,706.5876010781672
0.7091667652130127,185.5,5.013379997179133
0.7111861705780029,186.0,246.92711644884022
0.8112225532531738,186.5,4.998574663329758
0.8129234313964844,187.5,585.3061680156294
0.9138667583465576,188.5,9.907180650037793
0.9154000282287598,189.0,324.1347758887172
1.0153179168701172,189.5,5.00554221583613
1.0170772075653076,190.5,560.5859395883454
1.1163558959960938,191.5,10.07234077297331
1.1179773807525635,192.0,313.14797670598773
1.2192788124084473,192.5,4.933813582648916
1.2207298278808594,193.0,343.06428921969575
1.3216638565063477,193.5,4.953602025703954
1.322972297668457,194.5,762.4620978003999
1.422377586364746,195.5,10.060116472066852
1.423823356628418,196.0,345.26703984194927
1.5236716270446777,196.5,5.007657794259162
1.525087833404541,197.5,705.5179142136249
1.6256251335144043,198.0,4.974068882421724
1.6271100044250488,198.5,337.5425720263963
1.7284924983978271,199.5,9.862012372472073
1.7299346923828125,200.0,349.58359726621103
1.828723430633545,200.5,5.0606217091451375
1.8301315307617188,201.5,709.3360392355826
1.9318935871124268,202.0,4.913526330093812
1.9333746433258057,202.5,337.21691590287827
2.0330896377563477,203.5,10.029205492947307
2.0347132682800293,204.5,617.1724543849323
2.134094715118408,205.0,5.030733949355671
2.1354634761810303,205.5,364.7855279178988
2.236368417739868,205.5,0.0
2.2377803325653076,205.5,0.0
2.3381662368774414,205.5,0.0
2.339601993560791,205.5,0.0
2.4396562576293945,205.5,0.0
2.441136360168457,205.5,0.0
2.5426228046417236,205.5,0.0
2.544130325317383,205.5,0.0
2.642423152923584,205.5,0.0
2.6438703536987305,205.5,0.0
2.745459794998169,205.5,0.0
2.74674129486084,205.5,0.0
2.847520112991333,205.5,0.0
2.848954677581787,205.5,0.0
2.9482407569885254,205.5,0.0
2.9495668411254883,205.5,0.0
3.0508973598480225,205.5,0.0
3.0526225566864014,205.5,0.0
3.1527180671691895,205.5,0.0
3.1544241905212402,205.5,0.0
3.255323886871338,205.5,0.0
3.2569026947021484,205.5,0.0
3.3575828075408936,205.5,0.0
3.3595528602600098,205.5,0.0
3.4584131240844727,205.5,0.0
3.4599366188049316,205.5,0.0
3.560107946395874,205.5,0.0
3.561436176300049,205.5,0.0
3.6633028984069824,205.5,0.0
3.6648025512695312,205.5,0.0
3.7632269859313965,205.5,0.0
3.764986991882324,205.5,0.0
3.864928722381592,205.5,0.0
3.86628794670105,205.5,0.0
3.966538667678833,205.5,0.0
3.967801094055176,205.5,0.0
4.0689537525177,205.5,0.0
4.070482015609741,205.5,0.0
4.170822620391846,205.5,0.0
4.172224283218384,205.5,0.0
4.272312164306641,205.5,0.0
4.273878812789917,205.5,0.0
4.373753070831299,205.5,0.0
4.375156402587891,205.5,0.0
4.476994037628174,205.5,0.0
4.479150295257568,205.5,0.0
4.578004360198975,205.5,0.0
4.579637289047241,205.5,0.0
4.678820848464966,205.5,0.0
4.680292129516602,205.5,0.0
4.78088116645813,205.5,0.0
4.782181262969971,205.5,0.0
4.882633447647095,205.5,0.0
4.88405966758728,205.5,0.0
4.9839911460876465,205.5,0.0
4.985470294952393,205.5,0.0
5.086558818817139,205.5,0.0
5.088019609451294,205.5,0.0
5.189233779907227,206.5,9.880132573571501
5.190630912780762,206.5,0.0
5.290690183639526,207.5,9.994243123200976
5.292163372039795,207.5,0.0
5.391598463058472,209.0,15.085434774789896
5.392941236495972,209.0,0.0
5.49437952041626,211.0,19.716560898791897
5.49582839012146,211.0,0.0
5.5964484214782715,212.5,14.907568401373359
5.59781289100647,212.5,0.0
5.697027206420898,214.0,15.120602761454991
5.698510646820068,214.0,0.0
5.799338340759277,215.5,14.877040981610179
5.800756216049194,215.5,0.0
5.901150226593018,217.0,14.941272302822036
5.902513742446899,217.0,0.0
6.0031397342681885,219.0,19.87567467670014
6.0045483112335205,219.0,0.0
6.105280876159668,220.5,14.891125854148077
6.106644630432129,220.5,0.0
6.205253839492798,222.0,15.211597791081152
6.20664381980896,222.0,0.0
