Waktu(s),Raw_L,Raw_R,Clean_L,Clean_R,Kecepatan_Angular_rad_s
0.1012120246887207,-154,219,0,0,0.0
0.1027531623840332,-154,219,0,0,0.0
0.20223498344421387,-154,220,0,1,0.0
0.2037808895111084,-154,220,0,1,0.0
0.30380725860595703,-154,221,0,2,0.0
0.3052835464477539,-155,221,-1,2,0.0
0.4062309265136719,-155,223,-1,4,0.0
0.4077770709991455,-156,223,-2,4,0.0
0.5078949928283691,-156,224,-2,5,0.0
0.5093705654144287,-157,224,-3,5,0.0
0.6092479228973389,-157,226,-3,7,1.9226987766893793
0.6107563972473145,-159,226,-5,7,2.3073868817301197
0.7113451957702637,-159,227,-5,8,2.3023698437408537
0.7129771709442139,-160,227,-6,8,2.4938123986807286
0.8122754096984863,-160,229,-6,10,2.6894899848921776
0.8137297630310059,-161,229,-7,10,2.6896060102279966
0.9148976802825928,-161,230,-7,11,2.4964084847127004
0.9166538715362549,-162,230,-8,11,2.4953780535086474
1.0150115489959717,-162,232,-8,13,2.6966581614583163
1.0165200233459473,-163,232,-9,13,2.6964832134054237
1.1171221733093262,-163,233,-9,14,2.5003039610098496
1.1186764240264893,-164,233,-10,14,2.3077648806897955
1.2194311618804932,-164,235,-10,16,2.4992621026743884
1.2208547592163086,-165,235,-11,16,2.5002875285760493
1.320969820022583,-165,236,-11,17,2.3042517790852073
1.3223679065704346,-167,236,-13,17,2.4965489044208193
1.423102617263794,-167,238,-13,19,2.6908829499438447
1.4246182441711426,-168,238,-14,19,2.6921573119517577
1.5252110958099365,-168,239,-14,20,2.488908522027803
1.526726484298706,-169,239,-15,20,2.4888747932135216
1.6254758834838867,-169,241,-15,22,2.690095444627355
1.6269123554229736,-170,241,-16,22,2.690718848316083
1.7282593250274658,-170,242,-16,23,2.4956165793700626
1.7297368049621582,-171,242,-17,23,2.4953523328551364
1.8297555446624756,-171,244,-17,25,2.687811260757956
1.8314123153686523,-172,244,-18,25,2.4945564238646956
1.9323196411132812,-172,245,-18,26,2.3018869069594645
1.9339361190795898,-173,245,-19,26,2.301431105693478
2.034515380859375,-173,247,-19,28,2.4932835581321213
2.0358922481536865,-174,247,-20,28,2.493961868892806
2.135005474090576,-174,248,-20,29,2.30047483327578
2.1365268230438232,-176,248,-22,29,2.4917659930815663
2.2372050285339355,-176,250,-22,31,2.686966390674356
2.238647937774658,-177,250,-23,31,2.687148918205805
2.3396267890930176,-177,251,-23,32,2.4905111121107475
2.341071605682373,-178,251,-24,32,2.491546851266756
2.4410512447357178,-178,253,-24,34,2.688097201476257
2.4424195289611816,-179,253,-25,34,2.6894092775189034
2.5423457622528076,-179,254,-25,35,2.5005199502158457
2.5438318252563477,-180,254,-26,35,2.4999823940542223
2.6447858810424805,-180,256,-26,37,2.6825668098480295
2.6462759971618652,-181,256,-27,37,2.4911075181182047
2.746105432510376,-181,257,-27,38,2.30331905976295
2.747687339782715,-182,257,-28,38,2.302690116670867
2.84757399559021,-182,259,-28,40,2.499944844183367
2.849128484725952,-183,259,-29,40,2.4994051894159637
2.949195146560669,-183,260,-29,41,2.306748139238309
2.9506773948669434,-184,260,-30,41,2.3062309088145727
3.0515756607055664,-184,262,-30,43,2.493647768637063
3.0530285835266113,-185,262,-31,43,2.4938100633508236
3.1523940563201904,-185,263,-31,44,2.3091826670417928
3.153785228729248,-186,263,-32,44,2.3096328639775106
3.2538974285125732,-186,265,-32,46,2.5007089713846247
3.255345582962036,-188,265,-34,46,2.6937807439816317
3.356139898300171,-188,267,-34,48,2.6889730371481617
3.3577253818511963,-189,267,-35,48,2.6888091683800472
3.4581403732299805,-189,268,-35,49,2.686968908126826
3.4597041606903076,-190,268,-36,49,2.686538492308946
3.5588912963867188,-190,270,-36,51,2.6955999457101023
3.5604021549224854,-191,270,-37,51,2.695292141917664
3.6609342098236084,-191,271,-37,52,2.6891091894689665
3.662412405014038,-192,271,-38,52,2.688649100484359
3.7624809741973877,-192,273,-38,54,2.6888797555544515
3.76407790184021,-193,273,-39,54,2.496086749118231
3.8652503490448,-193,274,-39,55,2.30236876553131
3.866724967956543,-195,274,-41,55,2.4947760954312126
3.967003345489502,-195,276,-41,57,2.6874032392802225
3.9684979915618896,-196,276,-42,57,2.6877684378707762
4.068806171417236,-196,278,-42,59,2.6818593984302894
4.070513010025024,-197,278,-43,59,2.680829051805044
4.169550180435181,-197,279,-43,60,2.688708335988075
4.1710593700408936,-198,279,-44,60,2.6885444994797085
4.271865367889404,-198,281,-44,62,2.6846523311957387
4.2732298374176025,-199,281,-45,62,2.6858780345187023
4.373895168304443,-199,282,-45,63,2.688555841363901
4.375317096710205,-200,282,-46,63,2.4967747792554817
4.4750542640686035,-200,284,-46,65,2.499434512492257
4.4763343334198,-201,284,-47,65,2.500490601665712
4.5775465965271,-201,285,-47,66,2.304043363070411
4.579035997390747,-202,285,-48,66,2.3050285417225376
4.6780970096588135,-202,287,-48,68,2.4969971830098454
4.679604768753052,-203,287,-49,68,2.497004206931665
4.780432462692261,-203,288,-49,69,2.3048286292576243
4.781876087188721,-204,288,-50,69,2.3044699543689773
