Waktu(s),Raw_Ticks,Ticks_Bersih,Speed_Revisi,Kecepatan_Final_m_s
0.004732847213745117,74,0,0.0,0.0
0.1068868637084961,74,0,0.0,0.0
0.20801424980163574,74,0,0.0,0.0
0.3090498447418213,74,0,0.0,0.0
0.4122152328491211,75,1,0.0,0.0
0.5144340991973877,75,1,0.0,0.0
0.6141417026519775,76,2,0.0,0.0
0.7173488140106201,77,3,0.0,0.0
0.8194046020507812,78,4,0.0,0.0
0.921165943145752,80,6,0.0,0.0
1.0223917961120605,81,7,6.878532348757875,0.21836419707893245
1.1233320236206055,83,9,8.854388170610422,0.28108923029920624
1.2258992195129395,84,10,9.8242928204709,0.31187958489398426
1.3284938335418701,86,12,11.771122427358439,0.3736831590291352
1.4291141033172607,87,13,11.80058346851706,0.3746184219997125
1.5322575569152832,89,15,13.754841169990309,0.4366578065996246
1.6339921951293945,91,17,14.708038198385388,0.4669177651503905
1.7343435287475586,92,18,14.749339187942569,0.46822889621236014
1.8356831073760986,94,20,15.743715837892582,0.4997961329063307
1.9380741119384766,95,21,14.750594459092634,0.4682687457417222
2.0384883880615234,97,23,15.746534460176385,0.49988561219648514
2.141291856765747,98,24,14.73535547434639,0.4677849726779796
2.2432010173797607,100,26,15.727879409581677,0.49929339354604646
2.3449981212615967,101,27,14.756455217369277,0.4684547999332947
2.4461112022399902,103,29,15.732591584526896,0.4994429850935216
2.547710418701172,104,30,14.771734429522732,0.4689398500464181
2.6490814685821533,106,32,14.777025422580317,0.4691078166114046
2.7516114711761475,107,33,14.74537766735236,0.46810313475351506
2.8536477088928223,109,35,14.735286450678778,0.4677827814695948
2.956753969192505,110,36,14.724940218641674,0.46745433253063146
3.0578272342681885,112,38,14.715420741415398,0.46715212954666174
3.159085988998413,113,39,14.737754448530291,0.4678611299227115
3.2610723972320557,115,41,14.736635980644898,0.46782562331616095
3.362480401992798,116,42,14.74227147151932,0.46800452622415717
3.4644012451171875,118,44,14.730577112997416,0.46763327999320065
3.566359043121338,119,45,14.725391700733198,0.4674686651701267
3.6673898696899414,121,47,14.73031154774127,0.4676248494238597
3.7687766551971436,122,48,14.74686730890936,0.4681504245482034
3.870741367340088,124,50,14.747904360056259,0.46818334651898735
3.972212076187134,125,51,14.771658128166719,0.4689374278023263
4.0744788646698,127,53,14.75431657358824,0.46838690707353825
4.175470590591431,128,54,14.758192889276303,0.46850996363850467
4.2774436473846436,130,56,14.758386758527505,0.4685161181640969
4.380286931991577,132,58,15.720079925228216,0.4990457930330125
4.480244398117065,133,59,14.766059066996343,0.46875968138275964
4.582223176956177,135,61,15.750137707491216,0.5
4.684417724609375,136,62,14.748858575941622,0.46821363882192096
4.786776781082153,138,64,15.717090394355523,0.4989508881208075
4.888950347900391,139,65,14.73174985330198,0.4676705095186291
4.98950719833374,140,66,14.744983705759173,0.46809062814562047
5.091631174087524,142,68,14.747053967352093,0.46815635016124246
5.194505214691162,143,69,14.71981387605135,0.4672915929189046
5.294392824172974,144,70,13.766666338443764,0.4370332054905127
5.397367715835571,145,71,12.781678905452624,0.4057640365700832
5.499178409576416,146,72,12.758431707840408,0.4050260367492575
5.600543260574341,147,73,11.784114045323689,0.37409558773949086
5.700996398925781,147,73,10.820608653232767,0.3435083824088146
5.803292274475098,147,73,8.85377552875228,0.28106978152137585
5.9054646492004395,147,73,7.8700319216056025,0.24984009879045024
6.007835626602173,147,73,6.874010197184431,0.21822063796670663
6.108221769332886,147,73,4.918400803022592,0.15613834286297254
6.209912300109863,147,73,3.939306764193602,0.12505626418491422
6.313699245452881,147,73,2.9431777700693824,0.09343339800354643
6.4139320850372314,147,73,1.9674110765564827,0.062456948411972475
6.516373157501221,147,73,0.9830959135800849,0.031209121210175078
6.617689371109009,147,73,0.0,0.0
6.720366954803467,147,73,0.0,0.0
6.8224592208862305,147,73,0.0,0.0
6.923464775085449,147,73,0.0,0.0
7.024975538253784,147,73,0.0,0.0
