Waktu(s),Raw_Ticks,Ticks_Bersih,Speed_Ticks,Kecepatan_Final_m_s
0.04811811447143555,587,0,0.0,0.0
0.15080785751342773,587,0,0.0,0.0
0.25215792655944824,587,0,0.0,0.0
0.35452699661254883,587,0,0.0,0.0
0.455657958984375,587,0,0.0,0.0
0.5568616390228271,587,0,0.0,0.0
0.6592094898223877,588,1,0.0,0.0
0.7597470283508301,589,2,0.0,0.0
0.8623189926147461,591,4,0.0,0.0
0.9646186828613281,593,6,0.0,0.0
1.0649394989013672,594,7,6.8841982546663925,0.21854575779263932
1.1674678325653076,596,9,8.852517282920214,0.28103201366358516
1.2698767185211182,599,12,11.791076370781953,0.3743195104668439
1.3698153495788574,601,14,13.789186056450879,0.43775150054808964
1.4723827838897705,604,17,16.72035499042902,0.5308043895261597
1.5740697383880615,607,20,19.661660197633648,0.6241790646340778
1.6755366325378418,610,23,21.64657330829493,0.6871921162451309
1.7782695293426514,613,26,23.56354422865393,0.7480482750828478
1.8790383338928223,617,30,25.57244555544352,0.81182285660311
1.9819161891937256,621,34,27.523905077627433,0.8737738905943606
2.0832102298736572,625,38,30.443770067317782,0.9664679245570704
2.1850521564483643,629,42,32.42974486288612,1.0295146804171829
2.2880818843841553,633,46,33.392091436877934,1.060065334755127
2.3893494606018066,638,51,36.291085898907355,1.152096812946713
2.4908902645111084,643,56,38.291324061957944,1.215596373670917
2.592373847961426,647,60,39.280996338862536,1.2470145097735301
2.693588972091675,652,65,41.255246285674005,1.309689048585007
2.795894145965576,657,70,43.237947747390194,1.3726318891886493
2.898009777069092,662,75,44.1621797169595,1.4019725572945965
2.997708559036255,666,79,44.30039182808197,1.4063602389742904
3.100160837173462,671,84,45.23326862662353,1.4359753458207907
3.2018113136291504,676,89,46.225302883250166,1.4674684653316599
3.3028812408447266,681,94,47.299990578842056,1.50158550091592
3.405592918395996,686,99,47.23277639020334,1.4994517192833954
3.5077738761901855,690,103,46.21964545420656,1.4672888645892415
3.6099021434783936,695,108,47.17313534324174,1.4975583546065525
3.711026430130005,700,113,47.17734699147639,1.4976920575914097
3.8122336864471436,705,118,47.228311098923086,1.4993099641464125
3.9152579307556152,710,123,47.18612643930317,1.4979707699421188
4.016850471496582,714,127,47.0984456758553,1.4951872564257025
4.118211984634399,719,132,47.148908107135895,1.4967892367691362
4.218766212463379,724,137,47.199733296947684,1.4984027332449013
4.322769641876221,728,141,46.083473400094725,1.4629659465594074
4.422748804092407,733,146,46.20727330090681,1.4668960982105879
4.525503635406494,738,151,47.163797231361166,1.4972619069067916
4.626329183578491,743,156,47.22424542667909,1.4991808953153545
4.727554082870483,747,160,46.235830253404025,1.4678026672245643
4.830756187438965,752,165,46.14527411444728,1.4649278720372436
4.931681394577026,757,170,46.24056967683112,1.467953124960681
5.032851219177246,761,174,46.25980847680677,1.4685638799047078
5.1356000900268555,766,179,46.196726451671864,1.4665612779347752
5.237085580825806,771,184,46.15447909586689,1.4652200933773905
5.338531970977783,775,188,46.27066652646126,1.4689085795490393
5.4407639503479,780,193,46.16827183060823,1.465657957534489
5.5431249141693115,784,197,45.203457278256735,1.4350289547555384
5.64506983757019,788,201,44.17218437654169,1.4022901652176927
5.745316743850708,791,204,43.232083163301404,1.3724457121021665
5.847288131713867,795,208,42.30068739322514,1.3428776219853253
5.9509148597717285,798,211,40.22630869186369,1.277024395731905
6.050811767578125,801,214,39.29425365534673,1.2474353765426374
6.153492450714111,804,217,37.332041645683766,1.185142994083877
6.255824327468872,807,220,35.33781366285193,1.1218342325408974
6.355726480484009,809,222,33.42526889621587,1.0611185863792691
6.458459377288818,811,224,30.460979954663486,0.9670142696407471
6.559239149093628,813,226,28.54009815359,0.9060339559838683
6.660722017288208,815,228,26.58390395764837,0.8439326150395052
6.7621824741363525,816,229,24.58535011596598,0.7804865247814561
6.864837169647217,817,230,21.62057962796779,0.6863669208694655
6.966251850128174,818,231,19.697893595877737,0.6253293300947347
