Waktu(s),Raw_Ticks,Ticks_Bersih,Speed_Ticks,Kecepatan_Final_m_s
0.005099773406982422,1253,0,0.0,0.0
0.10729026794433594,1254,1,0.0,0.0
0.2098250389099121,1256,3,0.0,0.0
0.3106234073638916,1259,6,0.0,0.0
0.4132046699523926,1263,10,0.0,0.0
0.5144774913787842,1266,13,0.0,0.0
0.6159605979919434,1269,16,0.0,0.0
0.7171614170074463,1273,20,0.0,0.0
0.820528507232666,1276,23,0.0,0.0
0.9222497940063477,1279,26,0.0,0.0
1.0234534740447998,1282,29,28.47733550910323,0.9040414930719912
1.1248738765716553,1286,33,31.447047425583786,0.998317967572583
1.2265114784240723,1289,36,32.458385119968334,1.0304238940185149
1.3292121887207031,1292,39,32.39776502941878,1.0284994486239287
1.4305994510650635,1296,43,32.4357865920146,1.0297064811500956
1.5325660705566406,1299,46,32.41368253698386,1.0290047658190897
1.635141372680664,1302,49,32.378946718337474,1.0279020425203416
1.7355828285217285,1306,53,32.403089356627504,1.0286684747154968
1.8368723392486572,1309,56,32.469326777476596,1.0307712478777722
1.9383800029754639,1312,59,32.47615286773054,1.030987948938974
2.040971517562866,1315,62,32.43185731223259,1.0295817422341358
2.1432697772979736,1319,66,32.40390105308206,1.0286942428311432
2.243647575378418,1322,69,32.44403585598163,1.029968362283993
2.3445208072662354,1325,72,32.50243265665738,1.0318222271182453
2.4488606452941895,1328,75,31.426121491574253,0.9976536528715163
2.5484516620635986,1332,79,32.48397287636299,1.0312362029330195
2.651646137237549,1335,82,32.464186249422426,1.0306080566741644
2.753732442855835,1338,85,31.429565507353008,0.9977629865964287
2.855083703994751,1341,88,31.427659430986296,0.9977024762960911
2.9576058387756348,1345,92,32.377515208974714,1.0278565978241114
3.0580127239227295,1348,95,32.44706290526,1.030064458990384
3.1613101959228516,1351,98,31.432936663972658,0.9978700073344761
3.2625534534454346,1354,101,31.406237503220353,0.9970224157772335
3.3640902042388916,1358,105,32.36660505698272,1.0275102441389736
3.46608304977417,1361,108,32.44128310059205,1.0298809733113954
3.5673537254333496,1364,111,31.406355085952427,0.9970261485586459
3.668613910675049,1367,114,31.466090505341494,0.9989225091825712
3.770725727081299,1371,118,32.44859185587701,1.0301129970566718
3.8715529441833496,1374,121,32.465320833394905,1.0306440751769548
3.974330186843872,1377,124,31.473624154668443,0.9991616724141045
4.075438022613525,1380,127,31.451940541656484,0.9984733044354268
4.176785469055176,1384,131,32.497098524327974,1.031652889753316
4.278731822967529,1387,134,32.47461369948249,1.0309390865037713
4.381339073181152,1390,137,31.45739550762413,0.9986464777850358
4.482474088668823,1393,140,31.48394542596585,0.999489331492712
4.583743333816528,1397,144,32.46786441716453,1.0307248237873052
4.68632435798645,1400,147,32.42572589008962,1.0293870941067853
4.788667917251587,1403,150,31.435969850750393,0.9979662988819221
4.889779806137085,1406,153,31.427181108343188,0.997687291465463
4.991119623184204,1409,156,31.471609417162753,0.9990977125572489
5.094601154327393,1413,160,32.37950723796869,1.027919836776554
5.1960368156433105,1415,162,30.41448029847604,0.9655380915554205
5.297617197036743,1416,163,28.462475503186486,0.9035697473241583
5.398909330368042,1417,164,26.533794408105532,0.8423418372797183
5.50199294090271,1417,164,23.540516143878218,0.747317225503558
5.603061199188232,1417,164,19.62096484270567,0.6228871498965343
5.7035768032073975,1417,164,16.71168261120041,0.5305290761751682
5.805526256561279,1417,164,13.767896135369341,0.43707563071343514
5.907207727432251,1417,164,10.811576692329432,0.3432243136746902
6.009338617324829,1417,164,7.856855986812528,0.24942375015735055
6.110104322433472,1417,164,3.938934043366925,0.1250454001407264
6.212826728820801,1417,164,1.966974666133299,0.062443577751067715
6.314915895462036,1417,164,0.9829954580183086,0.031206173810249226
6.415903329849243,1417,164,0.0,0.0
6.5173773765563965,1417,164,0.0,0.0
6.6194374561309814,1417,164,0.0,0.0
6.721795320510864,1417,164,0.0,0.0
6.8241119384765625,1417,164,0.0,0.0
6.924726963043213,1417,164,0.0,0.0
7.0271687507629395,1417,164,0.0,0.0
